query_idx,n_docs,spearman_r,spearman_p,pearson_r,pearson_p
26,6000,-0.1335642508983703,2.7457485613869176e-25,-0.4793087425422542,0.0
27,6000,-0.11377880707827141,9.558871564394112e-19,-0.36372124074642287,4.289384428260285e-187
28,6000,-0.1837412720221879,1.036248150222891e-46,-0.3498400239488651,2.7091003046989956e-172
29,6000,-0.0880933858469325,8.168834835491038e-12,-0.2779714993917214,6.75321898839743e-107
30,6000,-0.1743144963377551,3.801474931874793e-42,-0.38650599642505434,4.918609573554808e-213
31,6000,-0.055148097647201584,1.918971984133435e-05,-0.26313920466225726,1.3580780228547734e-95
32,6000,-0.06371912632571192,7.82613681991332e-07,-0.12968868055841243,6.36030830345092e-24
33,6000,-0.11763029685975611,6.16167735730209e-20,-0.24889981660129717,2.089243581080563e-85
34,6000,-0.05575216676369858,1.5531992129694064e-05,-0.27385320883016373,1.0959550584680543e-103
35,6000,-0.1942449545185433,4.2539477263554546e-52,-0.44500531827320766,8.608026024481875e-290
36,6000,-0.297225426605465,1.1850477716102825e-122,-0.4860480761455218,0.0
37,6000,-0.16622273385367,1.979444838655968e-38,-0.42119123599093744,1.0858601051687816e-256
38,6000,-0.13763567745546726,9.136409138053877e-27,-0.29695834599511506,1.999062834925227e-122
39,6000,-0.10806520081062546,4.7171964245718475e-17,-0.46338809711098,3.2445153e-317
40,6000,-0.22334437059888113,1.0386412044111277e-68,-0.38824162101462467,4.2591865259403267e-215
41,6000,-0.11731187336199385,7.756224408304458e-20,-0.3809572339050363,1.5935410709198745e-206
42,6000,-0.20441169434481773,1.2863784746297995e-57,-0.434692067524331,3.9510551528233005e-275
43,6000,-0.16127321375753126,3.012294607380747e-36,-0.30553388351665245,7.71519185471288e-130
44,6000,-0.2756483217675933,4.439204896686537e-105,-0.4921041806615436,0.0
45,6000,-0.18927567457337063,1.6480157424332118e-49,-0.5020308205543015,0.0
46,6000,-0.14118934056557375,4.302996353235653e-28,-0.3287191352925382,3.6102042882583615e-151
47,6000,-0.06598325445569783,3.128261011528642e-07,-0.26310143935014896,1.4480931493963218e-95
48,6000,-0.08908953926156676,4.739827057155158e-12,-0.4169963833602667,3.938903081960108e-251
